TimeBST,TemperatureC,Dew PointC,Humidity,Sea Level PressurehPa,VisibilityKm,Wind Direction,Wind SpeedKm/h,Gust SpeedKm/h,Precipitationmm,Events,Conditions,WindDirDegrees,DateUTC<br />
12:00 am,16,8,50,1023,25,ESE,11.1,,,,Scattered Clouds,110,2014-06-22 23:00:00<br />
12:20 am,16,9,63,1023,-9999,ESE,13,-,N/A,,Clear,120,2014-06-22 23:20:00<br />
12:50 am,16,9,63,1023,-9999,SSE,9.3,-,N/A,,Clear,150,2014-06-22 23:50:00<br />
1:00 am,16,9,50,1023,23,SE,9.3,,,,Scattered Clouds,140,2014-06-23 00:00:00<br />
1:20 am,16,10,68,1023,-9999,SSE,9.3,-,N/A,,Clear,160,2014-06-23 00:20:00<br />
1:50 am,15,10,72,1023,-9999,SSE,5.6,-,N/A,,Clear,150,2014-06-23 00:50:00<br />
2:00 am,15,9,58,1023,26,SE,9.3,,,,Scattered Clouds,140,2014-06-23 01:00:00<br />
2:20 am,15,10,72,1023,-9999,SSE,5.6,-,N/A,,Clear,160,2014-06-23 01:20:00<br />
2:50 am,15,10,72,1023,-9999,South,7.4,-,N/A,,Clear,180,2014-06-23 01:50:00<br />
3:00 am,16,9,55,1023,30,SSE,9.3,,,,Mostly Cloudy,160,2014-06-23 02:00:00<br />
3:20 am,15,9,67,1023,-9999,SSE,3.7,-,N/A,,Clear,160,2014-06-23 02:20:00<br />
3:50 am,14,9,72,1023,-9999,Variable,3.7,-,N/A,,Clear,0,2014-06-23 02:50:00<br />
4:00 am,15,8,54,1023,24,SSE,5.6,,,,Partly Cloudy,160,2014-06-23 03:00:00<br />
4:20 am,14,9,72,1022,-9999,SSE,3.7,-,N/A,,Clear,150,2014-06-23 03:20:00<br />
4:50 am,14,9,72,1022,-9999,Calm,Calm,-,N/A,,Clear,0,2014-06-23 03:50:00<br />
5:00 am,15,9,57,1023,21,East,3.7,,,,Mostly Cloudy,90,2014-06-23 04:00:00<br />
5:20 am,15,9,67,1022,-9999,East,3.7,-,N/A,,Clear,90,2014-06-23 04:20:00<br />
5:50 am,15,10,72,1023,-9999,SE,5.6,-,N/A,,Clear,140,2014-06-23 04:50:00<br />
6:00 am,15,9,58,1023,23,SSE,5.6,,,,Mostly Cloudy,150,2014-06-23 05:00:00<br />
6:20 am,15,11,77,1023,-9999,SE,9.3,-,N/A,,Clear,140,2014-06-23 05:20:00<br />
6:50 am,16,10,68,1023,-9999,Variable,7.4,-,N/A,,Clear,0,2014-06-23 05:50:00<br />
7:00 am,16,9,52,1023,24,ESE,7.4,,,,,110,2014-06-23 06:00:00<br />
7:20 am,16,10,68,1023,-9999,Variable,3.7,-,N/A,,Clear,0,2014-06-23 06:20:00<br />
7:50 am,17,10,63,1023,-9999,Variable,5.6,-,N/A,,Clear,0,2014-06-23 06:50:00<br />
8:00 am,17,8,46,1024,20,ESE,7.4,,,,Mostly Cloudy,110,2014-06-23 07:00:00<br />
8:20 am,18,9,56,1023,-9999,Variable,5.6,-,N/A,,Clear,0,2014-06-23 07:20:00<br />
8:50 am,19,9,52,1023,-9999,Variable,5.6,-,N/A,,Clear,0,2014-06-23 07:50:00<br />
9:00 am,18,8,42,1023,22,South,3.7,,,,Mostly Cloudy,170,2014-06-23 08:00:00<br />
9:20 am,19,9,52,1023,-9999,Variable,3.7,-,N/A,,Clear,0,2014-06-23 08:20:00<br />
9:50 am,21,8,43,1023,-9999,Variable,3.7,-,N/A,,Clear,0,2014-06-23 08:50:00<br />
10:00 am,20,9,39,1023,20,NNW,5.6,,,,Mostly Cloudy,340,2014-06-23 09:00:00<br />
10:20 am,21,8,43,1023,-9999,Variable,3.7,-,N/A,,Clear,0,2014-06-23 09:20:00<br />
10:50 am,23,8,38,1023,-9999,ENE,7.4,-,N/A,,Clear,60,2014-06-23 09:50:00<br />
11:00 am,21,9,35,1023,14,East,5.6,,,,Light Haze,90,2014-06-23 10:00:00<br />
11:20 am,22,6,35,1022,-9999,Variable,5.6,-,N/A,,Clear,0,2014-06-23 10:20:00<br />
11:50 am,24,6,31,1022,-9999,West,11.1,-,N/A,,Clear,280,2014-06-23 10:50:00<br />
12:00 pm,23,7,26,1022,23,NW,9.3,,,,Partly Cloudy,320,2014-06-23 11:00:00<br />
12:20 pm,23,7,36,1022,-9999,NW,7.4,-,N/A,,Clear,320,2014-06-23 11:20:00<br />
12:50 pm,24,7,34,1022,-9999,Variable,7.4,-,N/A,,Clear,0,2014-06-23 11:50:00<br />
1:00 pm,24,9,27,1022,22,NW,7.4,,,,Mostly Cloudy,310,2014-06-23 12:00:00<br />
1:20 pm,25,8,34,1022,-9999,North,9.3,-,N/A,,Clear,350,2014-06-23 12:20:00<br />
1:50 pm,25,8,34,1022,-9999,Variable,7.4,-,N/A,,Clear,0,2014-06-23 12:50:00<br />
2:00 pm,26,10,27,1022,22,West,13,,,,Partly Cloudy,260,2014-06-23 13:00:00<br />
2:20 pm,25,7,32,1022,-9999,Variable,9.3,-,N/A,,Clear,0,2014-06-23 13:20:00<br />
2:50 pm,24,7,34,1022,-9999,WSW,11.1,-,N/A,,Clear,250,2014-06-23 13:50:00<br />
3:20 pm,25,8,34,1021,-9999,WSW,7.4,-,N/A,,Clear,250,2014-06-23 14:20:00<br />
3:50 pm,24,8,36,1021,-9999,Variable,3.7,-,N/A,,Clear,0,2014-06-23 14:50:00<br />
4:00 pm,24,9,26,1021,21,WSW,7.4,,,,Mostly Cloudy,250,2014-06-23 15:00:00<br />
4:20 pm,24,9,38,1021,-9999,WNW,11.1,-,N/A,,Clear,290,2014-06-23 15:20:00<br />
4:50 pm,23,10,44,1021,-9999,NW,7.4,-,N/A,,Clear,310,2014-06-23 15:50:00<br />
5:00 pm,23,10,32,1021,24,WNW,7.4,,,,Mostly Cloudy,290,2014-06-23 16:00:00<br />
5:20 pm,24,10,41,1021,-9999,West,7.4,-,N/A,,Clear,280,2014-06-23 16:20:00<br />
5:50 pm,23,9,41,1021,-9999,West,9.3,-,N/A,,Clear,280,2014-06-23 16:50:00<br />
6:00 pm,24,10,31,1020,20,West,9.3,,,,Mostly Cloudy,270,2014-06-23 17:00:00<br />
6:20 pm,23,10,44,1020,-9999,NW,11.1,-,N/A,,Clear,310,2014-06-23 17:20:00<br />
6:50 pm,23,11,47,1020,-9999,NW,7.4,-,N/A,,Clear,320,2014-06-23 17:50:00<br />
7:00 pm,22,12,42,1020,28,NW,5.6,,,Rain,Rain,320,2014-06-23 18:00:00<br />
7:20 pm,23,10,44,1020,-9999,Variable,3.7,-,N/A,,Clear,0,2014-06-23 18:20:00<br />
7:50 pm,23,10,44,1020,-9999,Variable,3.7,-,N/A,,Clear,0,2014-06-23 18:50:00<br />
8:00 pm,23,10,35,1020,20,NNW,3.7,,,,Mostly Cloudy,340,2014-06-23 19:00:00<br />
8:20 pm,21,14,64,1021,10,NE,9.3,-,N/A,,Partly Cloudy,40,2014-06-23 19:20:00<br />
8:50 pm,19,15,78,1021,10,East,7.4,-,N/A,,Partly Cloudy,80,2014-06-23 19:50:00<br />
9:00 pm,20,15,63,1021,18,ENE,9.3,,,Rain,Rain,70,2014-06-23 20:00:00<br />
9:20 pm,19,15,78,1021,-9999,ESE,11.1,-,N/A,,Clear,120,2014-06-23 20:20:00<br />
9:50 pm,19,15,78,1021,-9999,ESE,11.1,-,N/A,,Clear,110,2014-06-23 20:50:00<br />
10:00 pm,19,14,70,1021,14,NE,5.6,,,,Scattered Clouds,50,2014-06-23 21:00:00<br />
10:20 pm,19,15,78,1021,-9999,Variable,9.3,-,N/A,,Clear,0,2014-06-23 21:20:00<br />
10:50 pm,18,15,83,1021,10,Calm,Calm,-,N/A,,Scattered Clouds,0,2014-06-23 21:50:00<br />
11:00 pm,18,14,68,1021,15,East,5.6,,,,Scattered Clouds,80,2014-06-23 22:00:00<br />
11:20 pm,19,15,78,1021,-9999,NE,7.4,-,N/A,,Clear,50,2014-06-23 22:20:00<br />
11:50 pm,18,15,83,1021,-9999,NNE,3.7,-,N/A,,Clear,20,2014-06-23 22:50:00<br />
12:00 am,18,14,73,1021,15,NNE,3.7,,,,,20,2014-06-23 23:00:00<br />
12:20 am,18,14,77,1021,-9999,Calm,Calm,-,N/A,,Clear,0,2014-06-23 23:20:00<br />
12:50 am,17,15,88,1021,-9999,NNW,3.7,-,N/A,,Clear,330,2014-06-23 23:50:00<br />
1:00 am,17,14,77,1021,15,NW,7.4,,,,,320,2014-06-24 00:00:00<br />
1:20 am,17,14,82,1021,10,Calm,Calm,-,N/A,,Unknown,0,2014-06-24 00:20:00<br />
1:50 am,16,14,88,1021,10,Variable,5.6,-,N/A,,Unknown,0,2014-06-24 00:50:00<br />
2:00 am,16,13,79,1021,12,North,5.6,,,,,350,2014-06-24 01:00:00<br />
2:20 am,16,13,82,1021,10,NNE,3.7,-,N/A,,Unknown,20,2014-06-24 01:20:00<br />
